"PARROQUIA ""SANTIAGO APOSTOL DE HUANCANE""",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
CONSTANCIA DE ENTREGA DE DINERO,,,,,,
,,,,,,
,,,,,,
,,PLANILLA CAJA DIARIA: MES DE FEBRERO DEL 2025,,,,
,,6 - 31 DE FEBRERO,,,,
Fecha,COMPROBANTE,D  E  T  A  L  L  E,INGRESO,EGRESO,,OBSERVACIONES
,,,,,SALDO,
,Nº,,Importe S/,Importe S/,Importe S/,
,,,,,,
,11101,SIN USO,,,0,
45809,11102,MISA DE CHACRA,100,,100,
45809,11103,PARTIDA DE BAUTISMO,10,,110,
45809,11104,MISA DE CHACRA,100,,210,
45809,11105,MISA DE ALMA,20,,230,
45809,11106,MISA DE SALUD,20,,250,
45809,11107,PARTIDA DE BAUTISMO  0017036,10,,260,
45809,11108,MISA DE ALMA,80,,340,
45809,11109,MISA DE CHACRA,100,,440,
45809,11110,MISA BAJADA DE REYES,100,,540,
45809,11111,MISA BAJADA DE REYES,80,,620,
45839,11112,MISA DE ALMA,10,,630,
45839,11113,MISA DE ALMA,20,,650,
45839,11114,MISA DE CHACRA,100,,750,
45839,11115,MISA DE CHACRA,100,,850,
45839,11116,MISA DE ALMA,80,,930,
45839,DJ,COMPRA DE LAPICEROS,,14,916,
2025-08-01 00:00:00,11117,MISA DE CHACRA,100,,1016,
2025-08-01 00:00:00,11118,MISA DE ALMA,10,,1026,
2025-08-01 00:00:00,11119,PARTIDA DE BAUTISMO 0017009,10,,1036,
2025-08-01 00:00:00,11120,MISA DE ALMA,10,,1046,
2025-09-01 00:00:00,11121,MISA DE SALUD,20,,1066,
2025-09-01 00:00:00,11122,MISA DE SALUD,20,,1086,
2025-09-01 00:00:00,11123,MISA DE SALUD,20,,1106,
2025-09-01 00:00:00,11124,MISA DE ALMA,10,,1116,
2025-09-01 00:00:00,11125,MISA DE ALMA,20,,1136,
2025-09-01 00:00:00,11126,MISA DE ALMA,10,,1146,
2025-09-01 00:00:00,11127,MISA DE SALUD,80,,1226,
2025-09-01 00:00:00,11128,MISA DE ALMA,10,,1236,
2025-09-01 00:00:00,11129,PARTIDA DE BAUTISMO  0017010,10,,1246,
2025-09-01 00:00:00,11130,FUT DE RECTIFIACIÓN PARTIDA DE BAUTISMO,5,,1251,
2025-09-01 00:00:00,11131,PARTIDA DE BAUTISMO  0017012,10,,1261,
2025-09-01 00:00:00,11132,MISA DE CHACRA,100,,1361,
2025-09-01 00:00:00,11133,MISA DE SALUD Y ALMA (COMUNITARIA),50,,1411,
2025-10-01 00:00:00,11134,PARTIDA DE BAUTISMO  0017013,10,,1421,
2025-10-01 00:00:00,11135,MISA DE ALMA (COMUNITARIA),40,,1461,
2025-10-01 00:00:00,11136,MISA DE ALMA (COMUNITARIA),10,,1471,
2025-10-01 00:00:00,11137,MISA EXEQUIA,100,,1571,
2025-10-01 00:00:00,11138,MISA DE ALMA,20,,1591,
2025-10-01 00:00:00,11139,MISA DE SALUD,80,,1671,
2025-10-01 00:00:00,11140,MISA DE SALUD,20,,1691,
2025-10-01 00:00:00,11141,PARTIDA DE BAUTISMO  0017015  0017014,20,,1711,ENTREGADO AL DR. ALEX TAPIA
,,,,,1711,1711
13/1/2025,11165,MISA DE EXEQUIA,100,,1811,
13/1/2025,11166,MISA DE ALMA,80,,1891,
13/1/2025,11167,PARTIDA DE BAUTISMO  0017016,10,,1901,
13/1/2025,11168,MISA DE ALMA,10,,1911,
13/1/2025,11169,MISA DE CHACRA,100,,2011,
13/1/2025,11170,MISA DE ALMA,80,,2091,
13/1/2025,11171,MISA DE ALMA,10,,2101,
13/1/2025,11172,PARTIDA DE BAUTISMO  0017018,10,,2111,
13/1/2025,11173,PARTIDA DE BAUTISMO  0017019,10,,2121,
13/1/2025,11174,MISA DE CHACRA,100,,2221,ENTREGADO A LA HERMANA YUDY
,,,,,2221,510
14/01/2025,11175,PARTIDA DE BAUTISMO 001175,10,,2231,
14/01/2025,11176,MISA DE ALMA,10,,2241,
14/01/2025,11177,MISA DE ALMA,10,,2251,
14/01/2025,11178,PARTIDA DE BAUTISMO 001176,10,,2261,
14/01/2025,11179,"PARTIDA DE BAUTISMO 0011024, 0017024, 0017023, 0017021",40,,2301,
14/01/2025,11180,MISA DE CHACRA,100,,2401,
14/01/2025,11181,MISA DE ALMA,10,,2411,
14/01/2025,11182,MISA DE SALUD,30,,2441,
14/01/2025,11183,MISA ,80,,2521,
14/01/2025,11184,MISA DE ALMA,80,,2601,ENTREGADO A LA H. TERESA BRICEÑO
,,,,,2601,380
